"UID","Xsugg","Ysugg","Type","Unit","Walker","Pass_Grid","Section","ObjNo","Object","Material","MaxSize","Comments","MN-LN","FN-EB1","EB2","FMin","FPal","SPal","TPal","PPal-PG","Geometric","Archaic","Class","Hell","ERom","MRom","LRom","EByz","MByz","EVen","MVen","LVen","Recent","Other","TOTAL"
"6112-2-1-5-O1",708460.30,3971433.00,"tract","6112",2,"1","5",1,"vessel","glass",3.00,"light green",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"6113-27-1-55-O1",708517.60,3971169.50,"tract","6113",27,"1","55",1,"vessel","glass",5.50,"green",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"6265-2505-S-1",706264.60,3972506.40,"grid","6265-2505",59,"34","S",1,"lump","slag",3.40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"6325-3415-V-1",706325.40,3973410.10,"grid","6325-3415",7,"16","V",1,"lump","slag",6.10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"6345-3365-S-1",706345.90,3973365.20,"grid","6345-3365",57,"15","S",1,"lump","slag",4.20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"6545-2825-S-O1",706545.00,3972825.00,"grid","6545-2825",59,"21","S",1,"vessel","glass",2.90,"greenish-brown with white substance inside fold of rim for opacity; flowlines of glass clearly visible in section. From a stemmed beaker or lamp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100
"7091-7-1-55-O1",709056.40,3972831.00,"tract","7091",7,"1","55",1,"vessel","glass",2.00,"light purple (solarised?)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"7745-1975-S-1",707747.50,3971979.50,"grid","7745-1975",57,"35","S",1,"lump","slag",5.20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"7755-1985-S-1",707756.80,3971988.90,"grid","7755-1985",57,"35","S",1,"lump","slag",2.60,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"7755-1985-S-2",707757.90,3971982.30,"grid","7755-1985",57,"35","S",2,"lump","slag",3.40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
