"UID","Xsugg","Ysugg","Type","Unit","Walker","PassGrid","Section","FragNo","Material","MatSimple","PrimBlank","SecBlank","Length","Thickness","Width","ToolType","SubType","BifaceComp","ProjNotes"
"8985-3095-S-L2345",708988.2,3973098.9,"grid","8985-3095",14,44,"S",2345,"o","o","shatter","shatter",4.8,1.8,3.7,"n","","",""
"8985-3095-S-L2346",708982.8,3973094.6,"grid","8985-3095",14,44,"S",2346,"wc","c","flake","broken flake",16.7,3.2,19,"n","","",""
"8985-3095-S-L2347",708989.4,3973097.4,"grid","8985-3095",14,44,"S",2347,"wc","c","shatter","shatter",13.9,5.6,13.7,"n","","",""
"8985-3105-S-L2362",708985.8,3973106.2,"grid","8985-3105",21,44,"S",2362,"wc","c","shatter","shatter",18.6,6.4,11.2,"n","","",""
"8985-3105-S-L2363",708980.5,3973108.5,"grid","8985-3105",21,44,"S",2363,"wc","c","chip","chip",8.6,1.7,6.3,"n","","",""
"8985-3105-V-L2378",708988.2,3973105.4,"grid","8985-3105",21,44,"V",2378,"wc","c","flake","flake fragment",5.8,2.4,10.8,"n","","",""
"8985-3115-V-L2382",708981,3973119.2,"grid","8985-3115",101,44,"V",2382,"o","o","shatter","shatter",8.2,3.5,7.8,"n","","",""
"8985-3125-S-L2372",708981.1,3973121.8,"grid","8985-3125",2,44,"S",2372,"o","o","blade","blade segment",14.4,2.2,10.8,"n","","",""
"8985-3125-S-L2373",708987.5,3973122.1,"grid","8985-3125",2,44,"S",2373,"o","o","shatter","shatter",11.1,3.5,12.1,"n","","",""
"8985-9645-S-L2495",708984.2,3969647.7,"grid","8985-9645",101,53,"S",2495,"wc","c","flake","flake fragment",28.9,7.2,17.9,"n","","",""
"8985-9655-S-L2512",708980.7,3969656.4,"grid","8985-9655",112,53,"S",2512,"o","o","blade","blade fragment",13.4,3.2,7.5,"pe","pe","",""
"8985-9665-S-L2518",708988.9,3969661,"grid","8985-9665",15,53,"S",2518,"o","o","shatter","shatter/pe",13.1,5.2,13.1,"pe","pe","",""
"8985-9665-S-L2519",708987.4,3969665.6,"grid","8985-9665",15,53,"S",2519,"o","o","flake","flake fragment",11,4,11.6,"n","","",""
"8995-3085-S-L2383",708994.5,3973084.4,"grid","8995-3085",2,44,"S",2383,"o","o","blade","blade segment",12.2,2.7,9,"pe","pe","",""
"8995-3085-S-L2384",708999.5,3973087.4,"grid","8995-3085",2,44,"S",2384,"o","o","blade","blade segment",14.4,2.3,7,"pe","pe","",""
"8995-3085-S-L2385",708990.1,3973086.3,"grid","8995-3085",2,44,"S",2385,"o","o","flake","flake fragment",13.4,2.7,8.2,"n","","",""
"8995-3085-S-L2386",708995.1,3973087.3,"grid","8995-3085",2,44,"S",2386,"wc","c","core","bipolar core/pe",24.8,9,13.8,"pe","pe","",""
"8995-3085-S-L2387",708993.3,3973083.9,"grid","8995-3085",2,44,"S",2387,"wc","c","shatter","shatter",11.7,4.2,8.3,"n","","",""
"8995-3085-V-L2350",708997.5,3973086.3,"grid","8995-3085",2,44,"V",2350,"o","o","blade","proximal blade segment",12.6,3.6,10.8,"pe","pe","",""
"8995-3105-S-L2366",708990.5,3973108.9,"grid","8995-3105",14,44,"S",2366,"o","o","blade","blade segment",22.6,4.1,9.2,"retouched blade","marginal","",""
"8995-3105-S-L2367",708997.1,3973100.7,"grid","8995-3105",14,44,"S",2367,"o","o","shatter","shatter",13.4,2.7,6.6,"n","","",""
