"SID","Xsugg","Ysugg","Type","Comments","LocErr"
165,706622.8,3973341,"old house",,10
166,706572.5,3973247.7,"old house",,10
167,706640.3,3973231.9,"old house",,10
168,706615.1,3973260.5,"old house",,10
169,706590.4,3973284.3,"old house",,10
170,706617.2,3973314.6,"old house",,10
171,706674.4,3973178.2,"old house",,10
172,706199.6,3973073.1,"old house",,10
173,706709.3,3971681.5,"old house",,10
174,706477.2,3971938.9,"old house",,10
175,706664.9,3971935.5,"old house",,10
176,706607.7,3971992.7,"old house",,10
177,706967.1,3972108.6,"old house",,10
178,707836,3970772.2,"old house",,10
179,707921.9,3970742.1,"old house",,10
180,707917.4,3970776,"old house",,10
181,707965.1,3970670.4,"old house",,10
182,708022.8,3970718.4,"old house",,10
183,708028.6,3970677.2,"old house",,10
184,708722,3971160.4,"old house",,10
185,708506.7,3971029.3,"old house",,10
186,709287.7,3971064.9,"old house",,10
187,709189.3,3971186,"old house",,10
188,709351.6,3971012.5,"old house",,10
189,708007.9,3970718.1,"old house",,10
190,708122.3,3970731.5,"old house",,10
191,708155.6,3970732.7,"old house",,10
192,708122.7,3970774.7,"old house",,10
193,708167.8,3970832,"old house",,10
194,708136.1,3970832.9,"old house",,10
195,708130,3970813.7,"old house",,10
196,708200,3970698.1,"old house",,10
197,708168.3,3970705.9,"old house",,10
198,708169.5,3970680.2,"old house",,10
199,708206.9,3970671.7,"old house",,10
200,708162.6,3970667.2,"old house",,10
201,708230.1,3970676.6,"old house",,10
202,708184.9,3970664.8,"old house",,10
203,708161.7,3970689.2,"old house",,10
204,708217.5,3970633.4,"old house",,10
205,708239.6,3970443.9,"old house",,10
206,708272.7,3970404.1,"old house",,10
207,708223.1,3970429.2,"old house",,10
208,708345.3,3970344.2,"old house",,10
209,708444.5,3970303.2,"old house",,10
210,708351.1,3970271.5,"old house",,10
211,708303.5,3970244.4,"old house",,10
212,708173.2,3970750.1,"old house",,10
213,708171.3,3970769.4,"old house",,10
214,708208.9,3970938.2,"old house",,10
215,708223.7,3970990.4,"old house",,10
216,708227.5,3971006.8,"old house",,10
217,708249.8,3970991.2,"old house",,10
218,708252.5,3971007.6,"old house",,10
219,707727.3,3971524,"old house",,10
220,707730.2,3971503.8,"old house",,10
221,707724.8,3971460.7,"old house",,10
222,707795,3971435,"old house",,10
223,708554.6,3971417.7,"old house",,10
224,708490.6,3971473.1,"old house",,10
225,708474.8,3971179.1,"old house",,10
226,708216.1,3971406.9,"old house",,10
227,708215.2,3971375.6,"old house",,10
228,708164.7,3971334.8,"old house",,10
229,708189.5,3971392,"old house",,10
230,708272.7,3971339.1,"old house",,10
231,707714.3,3971779.5,"old house",,10
232,707805.7,3971714,"old house",,10
233,707769.6,3971750.7,"old house",,10
234,707744.2,3971772.7,"old house",,10
235,708302.3,3972471.1,"shelter",,10
236,708693.1,3971814.3,"shelter",,10
237,707922,3972626,"old house",,10
238,707874,3972624.6,"old house",,10
239,707976.1,3972540.5,"old house",,10
240,707913.4,3972431.2,"old house",,10
241,707919.6,3972412.7,"old house",,10
242,707660.3,3972362.8,"old house",,10
243,707644.1,3972364.1,"old house",,10
244,707085.4,3973271.2,"shelter",,10
245,707135.4,3973295.8,"shelter",,10
246,707359.8,3973910.3,"old house",,10
247,707330.3,3973819.9,"old house",,10
248,709018.9,3973204.3,"old house",,10
249,708739.6,3973426.1,"old house",,10
250,706640,3972066.8,"new house",,10
251,708140.7,3971352.2,"new house",,10
252,708335,3971376.3,"new house",,10
253,708570.9,3970986,"new house",,10
254,706773.4,3971609,"new house",,10
255,708040.5,3971511,"new house",,10
256,708159.1,3970612.5,"new house",,10
257,708136.4,3970741.9,"new house",,10
258,707675.8,3971804.4,"new house",,10
259,706737,3973111.4,"new house",,10
260,706678,3973133.6,"new house",,10
261,707071.3,3972625.4,"new house",,10
262,706946.6,3973032.6,"new house",,10
263,706965.6,3973155.2,"new house",,10
264,706604.1,3972657.6,"new house",,10
265,706599.5,3972742,"new house",,10
266,706875.2,3972757.7,"new house",,10
267,706797.3,3972706.1,"new house",,10
268,706521.7,3972762.6,"new house",,10
269,706292.6,3972189.3,"new house",,10
270,706586.7,3972297.6,"new house",,10
271,706538.7,3972288.9,"new house",,10
272,706587.1,3972247.4,"new house",,10
273,706616.9,3972284.8,"new house",,10
274,708191.5,3971465.8,"new house",,10
275,706256.5,3972137.2,"new house",,10
276,708032.5,3970776.6,"new house",,10
277,708182.2,3970511.5,"new house",,10
278,708229.2,3970618,"new house",,10
279,706564.9,3973351,"new house",,10
280,706830.9,3973147.8,"new house",,10
281,706811.4,3971628.1,"new house",,10
282,706697.4,3972221.8,"new house",,10
283,706648.3,3972181.2,"new house",,10
284,708155.1,3970589.3,"new house",,10
285,707107.8,3972442.9,"new house",,10
286,710003.1,3966865.9,"lighthouse","built in 1926",10
287,707103.3,3973202.2,"threshing floor",,10
288,706640,3972066.8,"threshing floor",,10
289,708298.8,3971398.3,"threshing floor",,10
290,706945.3,3972130.5,"threshing floor",,10
291,707353,3973834.9,"threshing floor",,10
292,706774.9,3971650.8,"threshing floor",,10
293,706722.4,3971752.9,"threshing floor",,10
294,708200.3,3970738.5,"threshing floor",,10
295,708311.5,3970212.1,"threshing floor",,10
296,708261.8,3970477.4,"threshing floor",,10
297,708877.9,3970091.8,"threshing floor",,10
298,707853.3,3971410.6,"threshing floor",,10
299,706553,3973443.1,"threshing floor",,10
300,706403.4,3972903.3,"threshing floor",,10
301,706474.9,3972757.8,"threshing floor",,10
